user_id,end_date,bid_id,item_id,item_name,description,initial_price,quantity,reserve_price,buy_now,nb_of_bids,max_bid,start_date
23,"2021-09-03 01:17:50",20000001,594,labore,"omnis dolor repellendus",218.58,1,821.65,332.8,80,518.6,"2021-12-29 14:13:02"
140,"2022-02-13 01:40:30",20000002,379,cum,"fugit sed quia",927.12,2,452.43,93.38,23,380.92,"2021-07-04 23:20:20"
171,"2021-04-05 09:02:27",20000003,398,minima,"sunt explicabo aspernatur",997.79,3,251.71,502.7,31,897.45,"2021-10-16 21:24:06"
103,"2021-03-14 03:49:52",20000004,793,recusandae,"recusandae itaque earum",701.78,10,672.34,834.66,45,813.59,"2021-06-13 14:14:17"
56,"2021-06-21 06:36:45",20000005,126,ullam,"nam libero tempore",848.3,9,373.25,901.12,97,614.74,"2022-01-16 14:13:03"
156,"2022-02-20 09:39:21",20000006,619,deleniti,"beatae vitae dicta",863.47,1,278.4,841.39,40,649.53,"2021-12-02 03:13:33"
168,"2021-10-24 12:52:58",20000007,839,sapiente,"vel illum qui",773,6,435.55,570.33,36,597.38,"2021-09-08 21:50:55"
12,"2021-11-11 19:08:00",20000008,255,fuga,"voluptatem ut enim",451.68,8,399,666.93,62,869.48,"2022-02-22 06:52:32"
122,"2022-01-20 21:29:01",20000009,777,molestiae,"alias consequatur aut",184.96,1,1.92,23.53,34,994.39,"2021-07-30 09:42:20"
51,"2021-03-21 18:49:45",20000010,501,ipsum,"quos dolores et",392.78,9,472.74,985.04,84,292.78,"2021-10-11 03:49:32"
50,"2022-01-03 06:12:16",20000011,122,aspernatur," consequatur aut",54.02,2,164.84,496.26,18,948.67,"2021-09-28 06:18:07"
74,"2021-09-14 05:35:20",20000012,488,et,"esse quam nihil",125.71,5,597.79,385.57,37,394.77,"2021-07-18 20:18:23"
98,"2021-10-08 06:32:05",20000013,279,et,"aut reiciendis voluptatibus",715.38,6,330.58,809.32,91,268.81,"2022-01-07 05:29:56"
196,"2021-06-15 03:14:10",20000014,378,dolores,"et expedita distinctio",287.22,1,61.45,163.62,93,102.58,"2021-12-06 02:56:12"
189,"2021-07-22 04:59:31",20000015,934,aspernatur,"velit esse quam",604.03,4,456.32,277.14,67,49.02,"2022-01-21 15:05:08"
155,"2021-03-26 00:59:36",20000016,67,et,"reiciendis voluptatibus maiores",240.99,7,96,536.39,21,516.93,"2021-04-09 12:22:19"
