item_id,date,user,user_nickname,bid_id,qty,bid,max_bid
594,"2021-06-29 12:24:44",23,94c5e0c8-b832-49c7-840a-e2c43d59b659,20000001,1,751.69,86.47
379,"2021-06-19 10:38:27",140,aaf9416c-1796-439a-b2e8-693de1cafab5,20000002,5,718.09,925.86
398,"2021-10-28 12:50:38",171,bc586425-91a9-4f86-b033-335a983fe668,20000003,1,607.1,866.8
793,"2021-06-27 22:17:31",103,5815cf7d-0150-4127-8b5c-cb75c9c7497d,20000004,5,948.76,201.77
126,"2021-10-05 01:45:13",56,8b89e263-57d0-4d59-b9f6-4f467bfbf8ac,20000005,1,425.01,800.76
619,"2021-06-27 04:18:07",156,32abc464-8b16-4ed1-9cc2-ce15e9471a9e,20000006,5,25.14,538.1
839,"2021-11-12 23:21:13",168,a7b82ea2-0069-4c66-9dbd-b768ee751115,20000007,5,589.99,543.38
255,"2022-02-27 22:55:45",12,e3673e66-5411-49a5-93cc-14c7545c6794,20000008,3,257.91,771.96
777,"2022-01-14 18:01:27",122,e4926304-ab89-401d-9c9d-45b828520c9a,20000009,2,231.4,142.87
501,"2021-04-01 22:19:09",51,71d58f61-2825-4b02-a5a9-93184ee808ec,20000010,1,336.99,144.86
122,"2021-07-29 22:31:48",50,66a12546-8b26-4f17-a719-c57173eb05b2,20000011,2,482.01,152.17
488,"2022-01-03 20:02:05",74,1212df1c-7566-4f49-bd96-ceb7429357c8,20000012,1,957.58,26.15
279,"2021-07-21 22:08:07",98,6c7e305e-ca17-4760-a5d0-125d9e251625,20000013,5,35.68,838.88
378,"2021-04-25 08:10:45",196,04e8f8a9-3a94-46b0-984c-3eee030a2ca3,20000014,2,297.12,725.69
934,"2021-10-25 11:07:10",189,c0314d32-94e2-41e7-b1d7-423ff68eddd2,20000015,2,376.9,520.4
67,"2021-11-25 04:22:38",155,f0a52242-b3ca-4f01-91b3-f464b7fd3361,20000016,2,215.76,682.49
818,"2021-09-08 16:21:51",128,5a4feb93-b563-4ed2-a592-d4dba8ebaddb,20000017,3,913.81,227.16
618,"2021-10-17 04:59:22",173,a717a3f7-f08d-4393-8260-20668034dddd,20000018,1,428.84,156.45
663,"2022-02-19 23:32:11",171,bc586425-91a9-4f86-b033-335a983fe668,20000019,4,628.97,742.61
171,"2021-03-17 10:16:44",124,38d181ca-60e0-4de0-885f-0f5d01516c5d,20000020,5,666.88,569.77
178,"2021-09-30 11:37:07",166,d6edf7c8-aefa-4548-ae37-353416b55a7c,20000021,1,986.81,452.16
761,"2021-10-11 04:54:54",6,59441e4b-60be-41b6-9b49-37f39b454fea,20000022,4,517.9,878.2
535,"2022-02-01 20:33:52",121,aa2e0146-558e-4317-bc2b-4c3bbf9525b6,20000023,4,924.85,276.9
684,"2021-11-17 17:28:48",161,fad76dad-5aea-45da-8b30-1701d553f30a,20000024,3,488.65,105.07
815,"2021-11-09 18:31:42",65,5ab14c6b-aac1-4ddc-9344-b802509b1726,20000025,1,134.02,0.3
448,"2021-09-30 06:24:29",96,2bfe6f2e-3d9b-491e-a11d-bacf26e897d6,20000026,5,856.77,773.1
489,"2021-06-28 16:57:30",139,eb05e32f-6a0c-4787-a683-0157e40a7087,20000027,3,961.12,42.64
292,"2021-06-03 15:09:28",114,24b24882-e85e-4a2a-9101-1c681894d840,20000028,5,648.5,207.68
331,"2021-10-28 14:37:10",8,50a17bf4-0d24-4d17-896e-2281922e8d25,20000029,5,171.24,40.61
271,"2022-01-04 22:32:41",142,bd0e48b7-de0c-4676-a922-c35ecc1942a4,20000030,5,719.62,130.89
511,"2021-08-07 21:31:33",155,f0a52242-b3ca-4f01-91b3-f464b7fd3361,20000031,5,138.81,771.65
