buyer_id,date,buynow_id,buynow_qty,item_id,item_name,description,initial_price,item_quantity,reserve_price,buy_now,nb_of_bids,max_bid,start_date,end_date
184,"2021-08-20 10:59:11",1,2,193,ratione,"et quasi architecto",609.57,9,613.05,494.26,96,34.63,"2021-04-14 18:54:32","2021-08-13 04:57:33"
73,"2021-05-28 22:23:13",2,2,186,,"voluptatem sequi nesciunt",126.57,1,561.05,781.27,12,499.43,"2021-11-14 11:19:45","2021-08-30 00:25:39"
171,"2021-11-03 18:13:36",3,3,200,tempora,"non recusandae itaque",823.55,8,628.81,521.95,9,698.05,"2021-04-07 00:15:31","2021-10-18 20:37:48"
127,"2021-06-23 07:43:26",4,2,59,molestiae,"ab illo inventore",99.16,2,997.36,27.23,96,674.24,"2021-04-05 14:18:00","2021-10-07 09:14:39"
169,"2021-08-05 12:49:48",5,1,142,quidem,"voluptate velit esse",730.54,4,897.14,324.55,37,944.47,"2021-11-01 18:36:21","2021-03-22 08:12:03"
158,"2021-09-30 22:29:49",6,1,27,non,"odio dignissimos ducimus",135.02,9,733.96,606.71,54,710.07,"2021-05-25 16:17:09","2021-05-13 11:29:01"
57,"2021-12-01 08:32:35",7,3,176,fugit,"excepturi sint occaecati",289,7,768.06,182.2,24,437.5,"2021-09-23 03:23:33","2021-03-27 13:58:22"
163,"2021-09-14 10:03:37",8,2,50,aliquid,"molestiae non recusandae",840.04,1,769.06,788.03,76,624.53,"2021-12-18 18:42:06","2021-04-05 13:22:24"
79,"2021-12-30 12:32:18",9,3,63,quasi,"corrupti quos dolores",766.01,2,821.29,917.76,45,314.11,"2021-12-30 15:18:28","2021-09-17 06:40:25"
112,"2021-11-08 02:31:56",10,2,100,fugiat,"accusamus officiis debitis",504.69,3,458.42,693.86,100,154.85,"2021-10-14 04:28:15","2021-04-20 06:54:58"
