comment_id,from_user,id,nickname,to_user,item,rating,date,comment
1,137,1,721c04fd-b1f9-4820-8562-9930d2f70516,15,447,1,"2021-03-18 08:04:21","enim ad minima"
2,169,2,742998ab-8d1f-4c01-bc6c-1f6129ea1e83,13,546,-1,"2021-07-01 21:53:34","est et expedita"
3,129,3,bc3de1db-1418-43a0-8f66-35de5e60e327,158,421,-5,"2021-10-27 08:33:34","nobis est eligendi"
4,27,4,83904f1f-6d5b-4dcc-a7e7-c6189327f27d,123,858,-4,"2021-11-30 23:06:53","molestiae et iusto"
5,28,5,aec5656c-1b84-4ebc-a17c-9917226824d7,62,215,3,"2022-01-14 16:54:39","natus error similique"
6,1,6,80848e35-1db3-41ec-969b-4576af35b215,14,8,-5,"2022-02-19 09:27:22","et harum quidem"
7,90,7,a9bf0224-504c-41c3-a5cd-f003bbba6b03,114,198,4,"2021-07-21 01:54:24","aperiam eaque ipsa"
8,120,8,761ddd58-cdf6-4a9b-b08d-4561f222a1d7,153,561,-2,"2021-07-22 18:50:59","dolores eos qui"
9,164,9,66b7855b-ca5c-4c26-ae89-9ab303ece713,5,460,1,"2021-09-18 18:58:06","maxime placeat facere"
10,94,10,b0d765a9-5d8c-4a69-a833-000b0c271c7f,114,941,5,"2021-06-28 10:16:36","et iusto odio"
11,100,11,e079d06f-196b-43fd-8c8f-97c6cf86f09a,4,472,-4,"2021-11-03 09:13:25","recusandae itaque earum"
12,41,12,c4dda6b1-d71a-4ea5-971c-e6bbdb9a8790,73,722,3,"2021-03-21 09:30:51","quam nihil molestiae"
13,141,13,852ca6c4-5f46-4ea6-80f4-fc01f8a04559,106,442,1,"2021-08-19 14:41:49","qui dolorem eum"
14,20,14,346f0a6a-e331-4868-a7b3-8d2c07591f14,53,39,0,"2021-10-17 11:30:52","eum fugiat quo"
15,194,15,5c071a48-005f-4fd0-a4f7-ae5b86cfcb2f,194,621,5,"2021-09-20 18:59:52","quod maxime placeat"
16,38,16,12dad1d7-db7f-498c-b2ad-b29a9371a7d3,78,680,4,"2021-06-24 15:20:34","velit sed quia"
17,144,17,c860c87e-b760-480b-8561-417e0a198ecc,111,387,3,"2021-08-27 12:30:34","vel illum qui"
18,16,18,bcc67833-6346-4c49-813f-32445bbb59f9,200,592,1,"2021-09-29 03:05:30","porro quisquam est"
19,7,19,7bc0bca5-8f77-41f5-9a70-e64efd8be7e7,49,983,-3,"2021-11-08 12:37:41","ut aliquid ex"
20,42,20,abfab052-c849-49dd-80d5-4818088c31e2,191,142,1,"2021-09-29 22:02:31","sint et molestiae"
21,13,21,fa33f9b3-25a7-4be4-bd87-4c654eff4d77,100,953,-1,"2021-04-03 10:08:15","iure reprehenderit qui"
22,200,22,e61d29a1-3fa0-49c3-9a06-9395eabb7d8f,155,30,-5,"2022-01-13 09:01:42","et quas molestias"
23,5,23,25126e92-eac0-4fe8-b428-e157a8cc355c,179,369,1,"2021-05-13 14:40:22","et dolore magnam"
24,193,24,445b5db5-6992-4b57-bc60-af966ecbf3a3,102,119,1,"2021-12-10 14:47:44","quo voluptas nulla"
25,138,25,095d4734-2bfc-4015-adbb-b331e9455280,156,175,4,"2021-03-25 04:54:31","sequi nesciunt neque"
26,130,26,ffb14902-954f-43c6-89ca-869f525a24c8,105,144,4,"2021-03-10 21:10:47","officiis debitis aut"
27,196,27,04e8f8a9-3a94-46b0-984c-3eee030a2ca3,3,69,-5,"2021-05-03 12:13:50","id quod maxime"
28,154,28,bcb3b048-df3d-434f-9472-565f5e05eba2,4,641,0,"2021-09-13 19:16:10","enim ipsam voluptatem"
29,101,29,655500af-e43f-4afc-8029-d7e0fe57d14a,124,387,4,"2022-02-18 05:37:42","ipsam voluptatem quia"
30,10,30,335df32c-ab7a-4f6d-8959-848da30f0a13,61,271,-2,"2021-03-14 16:32:38","praesentium laudantium totam"
31,100,31,e079d06f-196b-43fd-8c8f-97c6cf86f09a,180,817,1,"2021-11-13 15:01:09","tenetur a sapiente"
32,28,32,aec5656c-1b84-4ebc-a17c-9917226824d7,161,492,0,"2021-08-12 13:47:59","voluptates repudiandae sint"
33,6,33,59441e4b-60be-41b6-9b49-37f39b454fea,193,61,4,"2021-10-16 14:54:33","eum fugiat quo"
34,77,34,a001ab9d-5502-44dc-afe8-a17cffcae280,191,452,-1,"2021-03-25 02:49:59","suscipit laboriosam nisi"
35,150,35,0fb1e0d1-becf-4717-a098-6e654a8f6730,139,384,4,"2021-08-07 15:02:48","qui dolorem eum"
36,186,36,1fcd7b85-e461-4e4e-9077-f8f0298fa8f7,67,775,4,"2021-05-07 04:37:03","eum iure reprehenderit"
37,36,37,a89fae99-9fb2-48e7-94fc-631d384f001f,192,172,-5,"2021-09-04 07:52:18","nostrum exercitationem ullam"
38,152,38,782bbd8a-cccf-4427-a367-ebce035bd312,7,873,-2,"2021-08-31 19:42:01","odio dignissimos ducimus"
39,58,39,1138653d-c5ca-43f7-b27f-81c87ad89bce,127,514,-5,"2021-10-03 19:27:39","minima veniam quis"
40,185,40,0fd32276-63f2-4846-a3cc-3e0dffbaa0e8,64,812,-2,"2021-11-21 11:25:50","dolores et quas"
41,89,41,0bc44f06-620e-4b2f-9003-721b862c01fd,197,730,-2,"2022-01-12 19:14:13","reprehenderit qui in"
42,68,42,95da9b6f-f904-4051-9151-6123770864f0,86,521,3,"2022-01-07 00:09:13","cupiditate non provident"
43,112,43,9191ef57-ac5c-47a1-a373-5412ba576ea7,174,67,3,"2021-08-22 15:10:30","perspiciatis unde omnis"
44,180,44,522baa5e-e9ee-4197-9c5c-ecc9986d0330,46,373,5,"2021-07-27 21:13:57","minima veniam quis"
45,66,45,f0b4b2f4-b7e6-4204-8e27-571455a8ce54,54,429,-1,"2021-05-02 11:23:49","rerum hic tenetur"
46,35,46,1432eb37-04e3-4f79-a78c-9bb2b723b059,82,652,-1,"2021-03-21 00:04:35","inventore veritatis et"
47,74,47,1212df1c-7566-4f49-bd96-ceb7429357c8,67,904,4,"2021-12-20 13:58:14","sit suscipit laboriosam"
48,84,48,63da1fe9-3452-4548-9ea9-fc3691c17a0f,50,140,-4,"2021-10-02 14:57:00","eos et accusamus"
49,137,49,721c04fd-b1f9-4820-8562-9930d2f70516,110,937,-5,"2021-11-26 19:18:18","cumque nihil impedit"
50,15,50,5a784d9c-d2fd-4a7b-91a2-b70e840f5d48,197,445,5,"2022-01-02 06:40:50","reprehenderit qui in"
51,62,51,20d06d8d-ee21-41ea-b32d-5468d56a8efb,196,755,2,"2021-11-25 21:01:04","sunt in culpa"
52,147,52,8768a2f0-620d-46c1-a837-9689dd786e93,107,179,2,"2021-07-21 20:02:51","eos qui ratione"
53,16,53,bcc67833-6346-4c49-813f-32445bbb59f9,45,691,0,"2022-01-06 20:03:07","consequuntur magni dolores"
54,192,54,65b5d1b7-3da4-47de-b24f-e6dfac15c430,102,408,-3,"2021-03-14 11:43:08","est laborum et"
55,130,55,ffb14902-954f-43c6-89ca-869f525a24c8,158,976,2,"2021-03-25 11:59:09","ratione voluptatem sequi"
56,165,56,5829786a-5b19-4fad-b788-3bea2e012953,200,631,0,"2021-12-30 21:16:27","repudiandae sint et"
57,169,57,742998ab-8d1f-4c01-bc6c-1f6129ea1e83,39,792,4,"2021-05-27 16:20:53","velit esse quam"
58,124,58,38d181ca-60e0-4de0-885f-0f5d01516c5d,64,292,-2,"2021-08-28 17:16:34","harum quidem rerum"
59,93,59,a1e5ffc0-4acb-4638-89dd-6c68a1211fa4,70,555,-5,"2021-11-15 06:36:25","maxime placeat facere"
60,26,60,2c8587e1-d056-4d01-b794-2cf56220a7df,81,722,1,"2021-05-26 05:29:10","ab illo inventore"
61,198,61,e71d4a07-742e-42f7-a390-94fec6e3273a,135,167,-4,"2021-03-15 02:13:37","voluptatum deleniti atque"
62,183,62,5d34e7c5-9f6f-40d7-bd1b-f7d50a22f994,21,705,4,"2021-05-22 08:13:28","exercitationem ullam corporis"
63,5,63,25126e92-eac0-4fe8-b428-e157a8cc355c,131,422,-3,"2021-10-01 17:54:58","architecto beatae vitae"
64,63,64,2e8ef3f4-a48e-47ae-979d-a3ae0a29961d,96,145,4,"2021-04-14 08:53:42","sequi nesciunt neque"
65,68,65,95da9b6f-f904-4051-9151-6123770864f0,152,378,5,"2022-01-27 05:00:37","atque corrupti quos"
66,187,66,3c6426c2-2f82-4613-8adb-b23abd1ea755,12,334,1,"2022-02-21 12:31:33","beatae vitae dicta"
67,114,67,24b24882-e85e-4a2a-9101-1c681894d840,6,445,4,"2022-02-12 15:53:51","expedita distinctio nam"
68,198,68,e71d4a07-742e-42f7-a390-94fec6e3273a,1,111,3,"2021-06-16 01:41:55","cupiditate non provident"
69,77,69,a001ab9d-5502-44dc-afe8-a17cffcae280,197,190,-2,"2021-07-25 22:01:36","ut labore et"
70,113,70,dbf81f33-4a8a-46b0-8eda-e096c76bb08e,75,218,-5,"2021-12-01 02:25:08","et quasi architecto"
71,136,71,a771f3cf-8963-48b8-a23e-89dfbf01032b,72,542,4,"2021-12-10 09:23:08","aut consequatur vel"
72,182,72,71fb83b2-62ed-47b6-8f58-3057be00fa96,65,229,5,"2021-09-01 11:26:02","autem vel eum"
73,40,73,8d1f33c3-f8e3-475c-a77a-73059d6a558f,111,570,5,"2021-04-16 02:44:34","nostrum exercitationem ullam"
74,116,74,0da33ce5-4322-428d-84d8-c685128193c1,60,509,1,"2021-11-23 19:49:18","expedita distinctio nam"
75,50,75,66a12546-8b26-4f17-a719-c57173eb05b2,61,169,-3,"2021-05-19 20:28:58","necessitatibus saepe eveniet"
76,3,76,0abdeb89-7587-40ce-afba-59a65320369f,156,919,3,"2021-03-25 21:40:36","quas molestias excepturi"
77,125,77,03b62042-e572-4150-9714-679f7d35fe69,155,783,-5,"2021-06-04 05:42:07","voluptatem quia voluptas"
78,52,78,184fa7e8-9987-426a-874d-79fcbba69f86,52,351,2,"2021-05-10 08:20:10","voluptatem sequi nesciunt"
79,17,79,b9eb841f-fb87-4024-a67c-03a5e55aeb72,21,659,-5,"2022-02-24 23:21:51","voluptatem quia voluptas"
80,155,80,f0a52242-b3ca-4f01-91b3-f464b7fd3361,59,757,0,"2022-02-07 12:52:17","ab illo inventore"
81,131,81,a76625d9-9f6e-4b29-a8ee-94644d6634da,30,405,-4,"2022-02-01 18:39:05","quia consequuntur magni"
82,171,82,bc586425-91a9-4f86-b033-335a983fe668,93,276,-2,"2021-10-03 00:53:04","nisi ut aliquid"
83,106,83,54faaf83-5744-40ce-bef4-98300db814db,102,587,4,"2021-08-10 22:21:35","autem vel eum"
84,146,84,ca3dcb35-7e9e-4828-b3bf-8befc04ce4af,199,36,-1,"2021-12-28 11:33:14","consequatur aut perferendis"
85,11,85,7f2c1048-10af-4486-97ac-fecc7338ff7c,38,345,4,"2021-06-30 19:28:39","incidunt ut labore"
86,59,86,f82e64b4-0e05-4182-be8d-f5532e09e8d6,53,453,2,"2021-05-29 00:14:06","id est laborum"
87,16,87,bcc67833-6346-4c49-813f-32445bbb59f9,137,932,-1,"2021-05-05 20:14:09","voluptates repudiandae sint"
88,177,88,f75b3eb8-a800-40c0-bf5b-108d48d68cd7,28,11,2,"2021-05-05 07:10:56","reiciendis voluptatibus maiores"
89,114,89,24b24882-e85e-4a2a-9101-1c681894d840,7,79,0,"2021-07-06 09:38:04","officiis debitis aut"
90,129,90,bc3de1db-1418-43a0-8f66-35de5e60e327,116,864,-4,"2021-04-19 08:18:30","nostrum exercitationem ullam"
91,128,91,5a4feb93-b563-4ed2-a592-d4dba8ebaddb,127,379,-4,"2022-01-19 04:13:05","ad minima veniam"
92,97,92,00c23d28-22a5-479b-9bf8-c2542398a4f0,42,73,2,"2021-08-18 17:41:15","quae ab illo"
93,168,93,a7b82ea2-0069-4c66-9dbd-b768ee751115,31,52,5,"2022-02-14 12:43:41","ad minima veniam"
94,160,94,5267b73a-02ac-484d-b91f-52fa4b0d046f,112,895,0,"2022-01-06 20:27:52","qui in ea"
95,17,95,b9eb841f-fb87-4024-a67c-03a5e55aeb72,109,65,-5,"2022-01-11 06:25:45","dolorem eum fugiat"
96,100,96,e079d06f-196b-43fd-8c8f-97c6cf86f09a,109,799,0,"2022-03-01 21:28:59","mollitia animi id"
97,10,97,335df32c-ab7a-4f6d-8959-848da30f0a13,81,174,4,"2021-11-22 17:16:46","et molestiae non"
98,121,98,aa2e0146-558e-4317-bc2b-4c3bbf9525b6,57,442,0,"2021-05-08 16:58:26","ea commodi consequatur"
99,111,99,400c5051-d9a7-4ddf-a2c1-7f9ed93b3070,28,255,-4,"2022-03-02 12:17:37","suscipit laboriosam nisi"
100,170,100,07194029-5c0b-440b-a1c4-9c00f61a5fbc,143,53,-5,"2021-06-05 19:34:18","rerum hic tenetur"
101,13,101,fa33f9b3-25a7-4be4-bd87-4c654eff4d77,9,266,-3,"2022-01-13 05:31:26","iste natus error"
102,46,102,1bbf6db8-4785-47fb-8aa3-47544d520660,103,615,1,"2021-09-26 07:51:37","quia non numquam"
103,32,103,355ea4f8-2faa-46d7-8915-9293bf0f8e09,86,60,1,"2021-03-12 21:48:11","facilis est et"
104,32,104,355ea4f8-2faa-46d7-8915-9293bf0f8e09,4,204,0,"2021-07-13 11:35:13","ab illo inventore"
105,159,105,88e1e2d9-0f7b-46be-942f-05b9ce3ffe6b,77,611,5,"2021-12-13 01:10:15","ullam corporis nemo"
106,92,106,32a51e1b-4a89-4ff5-a8b1-f4a2bffcb89e,182,355,-5,"2021-10-05 15:14:30","esse quam nihil"
107,185,107,0fd32276-63f2-4846-a3cc-3e0dffbaa0e8,173,598,-4,"2021-08-24 18:37:50","et harum quidem"
108,48,108,2db70eb2-df5d-49ca-a912-32fa2c55e237,145,919,-4,"2021-03-27 13:20:11","adipisci velit sed"
109,88,109,66f1e353-13c8-45de-a2ba-95370eac8e8f,24,552,2,"2021-11-20 08:05:32","animi id est"
110,97,110,00c23d28-22a5-479b-9bf8-c2542398a4f0,19,805,1,"2021-06-25 16:24:30","et molestiae non"
111,190,111,d07338ec-78d3-43f6-aa17-b16977b582cb,105,811,2,"2021-03-16 04:18:48","ab illo inventore"
112,29,112,3b535eae-ee62-4066-ae2e-d4921f2bcad2,59,601,1,"2021-07-25 01:53:42","nesciunt neque dolorem"
113,59,113,f82e64b4-0e05-4182-be8d-f5532e09e8d6,95,112,-1,"2021-08-25 11:22:15","sit voluptatem accusantium"
114,110,114,dfd536b5-b5dc-4643-b542-e41972d3e876,115,222,-2,"2021-09-05 15:16:09","qui blanditiis praesentium"
115,84,115,63da1fe9-3452-4548-9ea9-fc3691c17a0f,158,243,4,"2021-11-10 02:00:24","eius modi tempora"
116,33,116,5ac8c43d-4e96-403d-a88c-0b63eca66499,54,437,-4,"2021-05-26 03:49:30","quam nihil molestiae"
117,57,117,3b4a9ca6-2e8d-44d1-ae05-123483d42520,92,396,5,"2021-12-18 04:05:07","consequatur quis autem"
118,30,118,391dd72b-b4d0-46f7-a7c3-69707a59fdaa,55,11,-1,"2021-04-19 16:23:19","error similique sunt"
119,101,119,655500af-e43f-4afc-8029-d7e0fe57d14a,28,117,-2,"2021-04-16 02:03:29","voluptatem ut enim"
120,79,120,a33b14e6-60d4-4512-9bc6-ac0f5e470390,62,948,-3,"2021-12-28 16:59:30","aspernatur aut odit"
121,55,121,1949b25c-8775-47a7-b889-a56ea2212856,62,696,3,"2021-06-08 03:45:28","cum soluta nobis"
122,131,122,a76625d9-9f6e-4b29-a8ee-94644d6634da,15,529,-2,"2021-07-07 17:14:43","ut labore et"
123,133,123,2b96c5b5-5fcf-4f14-9322-44097d82e7c8,46,360,1,"2021-08-27 01:01:09","minima veniam quis"
124,180,124,522baa5e-e9ee-4197-9c5c-ecc9986d0330,104,331,3,"2021-03-10 18:12:14","vel illum qui"
125,100,125,e079d06f-196b-43fd-8c8f-97c6cf86f09a,35,937,2,"2021-06-01 00:27:18","suscipit laboriosam nisi"
126,186,126,1fcd7b85-e461-4e4e-9077-f8f0298fa8f7,67,227,3,"2022-01-18 06:41:06","repellendus temporibus autem"
127,57,127,3b4a9ca6-2e8d-44d1-ae05-123483d42520,33,802,-4,"2022-01-04 03:59:15","est omnis dolor"
128,136,128,a771f3cf-8963-48b8-a23e-89dfbf01032b,27,647,-4,"2021-06-01 21:08:08","non recusandae itaque"
129,180,129,522baa5e-e9ee-4197-9c5c-ecc9986d0330,189,41,5,"2021-10-26 18:54:13","enim ipsam voluptatem"
130,45,130,dfd98772-512a-4977-a2d7-7a9da05f2471,27,999,-4,"2021-09-24 21:57:04","quo porro quisquam"
131,78,131,daf4c5ab-4d06-4552-9d08-f84883530dd1,41,253,3,"2021-10-23 06:12:49","eaque ipsa quae"
132,106,132,54faaf83-5744-40ce-bef4-98300db814db,137,653,-3,"2021-06-28 18:46:49","et molestiae non"
133,200,133,e61d29a1-3fa0-49c3-9a06-9395eabb7d8f,78,946,-5,"2022-02-16 17:45:31","aliquid ex ea"
134,149,134,5c11202d-4864-4453-a762-dd9a9a68df06,196,9,-1,"2022-01-05 21:34:07","quia consequuntur magni"
135,143,135,68a7d128-bcbd-4069-856c-8f1a644a0eff,137,348,-4,"2021-08-03 18:48:37","debitis aut rerum"
136,175,136,b0c478bd-9dc4-4382-8f23-269809fdfc0f,62,177,5,"2021-06-24 16:00:20","iure reprehenderit qui"
137,30,137,391dd72b-b4d0-46f7-a7c3-69707a59fdaa,194,310,3,"2021-04-01 11:22:54","in ea voluptate"
