id,name,description,initial_price,quantity,reserve_price,buy_now,nb_of_bids,max_bid,start_date,end_date,seller,category
1,numquam,"ut perspiciatis unde",264.89,3,843.95,526.97,95,200.84,"2021-06-25 12:20:43","2021-07-26 04:00:55",76,16
2,aut,"explicabo aspernatur aut",904.74,1,0.47,216.45,73,278.18,"2022-03-05 18:59:55","2022-02-22 05:16:34",94,39
3,vel,"voluptatem sequi nesciunt",284.95,2,396.54,136.34,59,655.01,"2021-09-15 04:36:52","2021-07-26 11:56:39",148,12
4,voluptates,"molestias excepturi sint",397.64,10,437.13,16.75,95,447.67,"2021-06-14 07:57:49","2021-05-03 22:57:56",73,42
5,et,"ut enim ad",725.55,2,413.1,671.19,21,63.14,"2021-07-08 17:57:17","2021-05-05 22:35:12",112,11
6,voluptatem,"eum iure reprehenderit",98.89,2,540.36,636.19,31,176.09,"2021-05-09 09:36:50","2021-04-01 18:06:18",48,35
7,consequuntur,"sapiente delectus ut",184.3,0,10.11,256.79,7,740.82,"2021-08-19 00:01:09","2021-07-29 04:38:52",169,22
8,nisi,"quasi architecto beatae",355.89,6,543.4,380.88,57,297.28,"2022-01-15 12:32:09","2021-12-06 20:51:29",117,32
9,cupiditate,"beatae vitae dicta",902.73,0,416.61,253.5,29,685.87,"2021-12-26 15:06:39","2021-12-23 02:05:08",141,28
10,laboriosam,"possimus omnis voluptas",602.71,7,687.74,982.43,19,168.59,"2021-11-20 07:48:41","2021-12-17 06:24:23",65,45
11,itaque,"est omnis dolor",817.18,6,215.66,999.16,68,297.26,"2021-07-29 22:36:33","2022-02-06 17:23:12",111,15
12,earum,"praesentium laudantium totam",240.22,6,736.51,378.11,30,628.23,"2021-10-27 21:02:38","2021-06-10 06:36:13",4,25
13,iste,"fuga et harum",12.74,10,63.67,971,53,506.85,"2021-12-20 19:28:12","2021-08-31 03:54:53",90,13
14,nostrum,"sit suscipit laboriosam",460.68,10,6.35,52.86,43,999.03,"2021-07-28 05:07:32","2021-07-30 20:46:34",1,44
15,dolorem,"ipsam voluptatem quia",695.99,1,975.56,355.75,57,944.96,"2021-10-18 03:37:33","2022-03-02 22:47:42",152,10
16,minus,"tenetur a sapiente",939.05,6,369.71,838.26,32,504.92,"2021-11-05 12:03:09","2021-11-22 06:29:03",165,44
17,non,"aut perferendis sit",995.09,7,372.55,765.73,98,922.35,"2021-10-31 05:53:01","2021-03-23 02:48:46",129,34
18,voluptate,"sit voluptatem accusantium",388.42,8,282.42,400.26,92,395.47,"2021-10-23 12:35:03","2021-03-26 03:03:11",65,40
19,ipsum,"ratione voluptatem sequi",919.99,0,932.63,67.86,1,29.3,"2021-07-30 15:57:00","2022-02-08 09:41:32",148,34
20,sed,"impedit quo porro",206.17,7,25.8,73.86,33,739.57,"2021-10-20 07:39:09","2021-10-13 06:00:53",121,40
21,eligendi,"ratione voluptatem sequi",957.25,2,722.12,163.42,50,261.61,"2021-05-20 16:58:58","2021-10-31 03:45:42",113,14
22,velit,"consequatur vel illum",671.25,0,326.74,784.77,25,107.68,"2021-12-08 00:56:18","2021-12-14 19:22:51",92,43
23,repellendus,"excepturi sint occaecati",664.52,2,587.19,265.36,29,370.87,"2021-06-19 19:29:16","2021-08-22 11:36:02",169,14
24,ipsam,"voluptatem sequi nesciunt",153.07,3,868.85,125.62,65,99.64,"2021-03-13 19:24:19","2021-09-03 04:14:28",188,30
25,maxime,"voluptates repudiandae sint",603.59,1,750.05,877.16,16,640.9,"2021-11-20 08:11:42","2021-04-06 03:13:55",70,34
26,perspiciatis,"aut fugit sed",947.67,8,327.77,199.27,67,10.75,"2021-03-28 16:38:23","2021-12-05 12:14:01",198,22
27,non,"odio dignissimos ducimus",135.02,9,733.96,606.71,54,710.07,"2021-05-25 16:17:09","2021-05-13 11:29:01",182,26
28,voluptatibus,"laborum et dolorum",372.72,0,852.73,506.17,0,964.12,"2021-12-11 22:08:56","2021-12-06 18:26:12",48,18
29,cum,"consequatur aut perferendis",257.94,8,677.27,52.68,10,91.16,"2021-06-20 21:37:24","2021-08-25 10:40:24",101,9
